Bin,Phylum,Class,Order,Family,Genus,Species,Distance
bin_361,p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Tissierellaceae,g__Tissierella,s__Tissierella_creatinophila,0.339586
bin_15,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_sp_GW101_3H11,0.191731
bin_180,p__Bacteroidetes,c__CFGB2107,o__OFGB2107,f__FGB2107,g__GGB6000,s__GGB6000_SGB8623,0.287309
bin_177,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionibacterium,s__Propionibacterium_acidifaciens,0.2661355
bin_277,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__GGB1234,s__GGB1234_SGB1613,0.103175463
bin_129,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Alkaliphilus,s__Alkaliphilus_metalliredigens,0.35328
bin_320,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__Rickettsia,s__Rickettsia_typhi,0.372583
bin_372,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium_SGB15340,0.274507137
bin_258,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB3240,s__GGB3240_SGB4280,0.07507193
bin_211,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Dialister,s__Dialister_invisus,0.047821164
bin_96,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidales_unclassified,g__Bacteroidales_unclassified,s__Bacteroidales_bacterium_CF,0.224525
bin_52,p__Bacteroidetes,c__CFGB971,o__OFGB971,f__FGB971,g__GGB2571,s__GGB2571_SGB3484,0.320287
bin_117,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,s__Holdemanella_SGB6796,0.283386823
bin_92,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Alysiella,s__Alysiella_filiformis,0.283502
bin_217,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiales_unclassified,g__Clostridiales_unclassified,s__Clostridiales_bacterium_KLE1615,0.074212034
bin_256,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Eubacterium,s__Eubacterium_ventriosum,0.320734319
bin_309,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger_sp_An50,0.245371
bin_87,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.291447
bin_188,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_bryantii,0.3116812
bin_163,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_ovatus,0.077543026
bin_63,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_dentiae,0.215885
bin_304,p__Actinobacteria,c__Actinobacteria,o__Micrococcales,f__Intrasporangiaceae,g__Tetrasphaera,s__Tetrasphaera_australiensis,0.320287
bin_324,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_SGB9458,0.372583
bin_162,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Anaerostipes,s__Anaerostipes_hadrus,0.034698915
bin_271,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,g__Klenkia,s__Klenkia_soli,0.35328
bin_310,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_weaveri,0.372583
bin_153,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiales_unclassified,g__Aquabacterium,s__Aquabacterium_sp_NJ1,0.213325
bin_182,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ramlibacter,s__Ramlibacter_tataouinensis,0.372583
bin_358,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_SGB1869,0.220489
bin_191,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Williamwhitmaniaceae,g__Williamwhitmania,s__Williamwhitmania_taraxaci,0.339586
bin_327,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Chryseobacterium,s__Chryseobacterium_haifense,0.23011
bin_190,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Snodgrassella,s__Snodgrassella_alvi,0.320287
bin_8,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella_pneumoniae,0.033770015
bin_232,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.256381
bin_95,p__Firmicutes,c__CFGB1334,o__OFGB1334,f__FGB1334,g__GGB3232,s__GGB3232_SGB4269,0.026188633
bin_101,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_raffinolactis,0.017057033
bin_187,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_finegoldii,0.073573212
bin_230,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__Paludibacter,s__Paludibacter_propionicigenes,0.328965
bin_156,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Brachymonas,s__Brachymonas_denitrificans,0.26546
bin_195,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter_splanchnicus,0.065296227
bin_359,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ramlibacter,s__Ramlibacter_tataouinensis,0.306598
bin_125,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Lachnoclostridium,s__Clostridium_saccharolyticum,0.291447
bin_238,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_carolinensis,0.1868315
bin_318,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.279978
bin_375,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.279978
bin_379,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_SGB1918,0.245371
bin_323,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Selenomonadaceae,g__GGB4315,s__GGB4315_SGB5910,0.121785179
bin_252,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella,s__Moraxella_osloensis,0.17408116
bin_59,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_copri,0.042510866
bin_283,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Paracoccus,s__Paracoccus_aminovorans,0.300994
bin_355,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_SGB1652,0.127747
bin_19,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Chromobacteriaceae,g__Laribacter,s__Laribacter_hongkongensis,0.02309125
bin_307,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_bouvetii,0.339586
bin_229,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8267,s__GGB8267_SGB12643,0.283502
bin_170,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger_SGB15301,0.339586
bin_139,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Alicycliphilus,s__Alicycliphilus_denitrificans,0.16159675
bin_106,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Dysgonamonadaceae,g__Dysgonamonadaceae_unclassified,s__Dysgonamonadaceae_bacterium,0.306598
bin_351,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiales_unclassified,g__Candidatus_Hodgkinia,s__Candidatus_Hodgkinia_cicadicola,0.372583
bin_197,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_graminisolvens,0.2141935
bin_121,p__Firmicutes,c__CFGB1451,o__OFGB1451,f__FGB1451,g__GGB3628,s__GGB3628_SGB4914,0.033472998
bin_40,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Thauera,s__Thauera_propionica,0.247037
bin_293,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.295981
bin_38,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_shayeganii,0.207842
bin_136,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium_prausnitzii,0.051604649
bin_331,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_wautersii,0.312952
bin_205,p__Firmicutes,c__CFGB3072,o__OFGB3072,f__FGB3072,g__GGB9781,s__GGB9781_SGB15402,0.320287
bin_157,p__Firmicutes,c__CFGB1349,o__OFGB1349,f__FGB1349,g__GGB3293,s__GGB3293_SGB4348,0.023466372
